stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,3,0,6,0
72hpf,0,0,0,0,3.95,0,0
21Day,0,0,0,0.37,1.85,0,0
3Month,0.1,0.1,0.1,0.1,0,0,0.1
