stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.41,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,1.11,0.74,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0
3Month,0,0,0.1,0.52,0,0.1,0,0,0.21,0.52,0,0,3.74,0.1,0,1.14,0,0.21,0.21,0.21,0,0,0,0.21,0,0,0,0.21,0,0,0,0,0,0.1,0,0,0,0.1,0.21
22Month,2.19,72.15,7.65,128.72,0.82,4.92,4.51,0.41,26.1,91.56,21.18,0,247.47,31.98,25.28,97.16,6.7,18.86,73.65,82.95,3.96,5.06,19.54,1.5,10.8,1.78,18.31,15.85,0.41,4.92,2.46,0.14,5.47,7.93,0.82,0.68,14.62,0,63.13
