stage,Granulocyte,Granulosa_cell,Hatching_gland,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0.85,0,0.56,0.85,0,0
21Day,0.37,0,0,0,0,0,1.11,0.74,0,1.85,3.33,0,0.37
3Month,0.1,0,0,0.21,0.1,0.1,0,0,0,0,0,0.21,0
22Month,0.27,0.14,0,0,0,0,0,0,0,0,0,0,0
