stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0.56,0.56,0,0,0,0,0,0,0
21Day,0.37,0.37,0.37,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0.74,0,0,0,0.37,0.37,0,0,0.37
3Month,0,0.1,0.21,0,0.31,0.1,0,0.52,0.21,0.42,0.31,0.1,0.31,0.1,0,0,0.21,0.1,0,0,0.1,0.1,0.1
22Month,0,0,0,0,0,0,0,0.27,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
