stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,1.13,0,0,0,0,0,0,0,0,0
21Day,1.11,1.48,0,0,0,0,0.37,0,0.37,0,0
3Month,0.21,0,0,0,0.1,0,0,0,0,0.83,0.1
22Month,0.27,0,0.14,1.37,0,0.14,0,0.27,0,0.41,0
