stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,6,0,41,0,0,0,0,0,0,0,0,0,5,16,15,25,0,0,0,0,6,52,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,2.82,2.54,0,18.88,1.69,4.51,0.28,0,0.56,0,0,0.56,0,8.46,35.51,1.41,21.7,0,3.1,1.13,0.56,8.46,4.23,0.28,0.28,20.86,1.41,0,0.85,0.28,1.13,0.28,0,0,0
21Day,5.55,0.37,2.22,32.19,0.74,1.85,0.37,0.37,0.37,2.22,1.11,4.07,5.55,1.48,13.32,1.11,10.73,0,0,2.96,0,4.81,0,1.85,0.74,11.84,3.7,0,0.74,0.37,0.37,0.37,0,0,0.37
3Month,0,1.46,0.94,7.07,0,0,0,0.62,1.66,3.95,9.99,0.21,12.48,5.51,1.56,1.87,1.56,0.62,0,0.1,0.21,0.1,0,0.73,0.42,0.21,0.52,7.7,0,0,0,0,1.35,29.12,0.62
22Month,0,0.55,0.14,0.41,0,0,0,0.14,0.14,3.69,0.82,0,2.05,0.41,0.14,0.96,0.41,0,0,0.14,0.14,0.27,0,0.14,0.14,0.41,0.14,0.68,0.14,0,0,0,0,0,0.27
