stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.28,0,0,0,0,0,0.56,35.79,0,0.56,1.97,1.13,0.28,0.28,0.28,0,0
21Day,0.37,0,0,1.11,0,0,0,0.37,0.37,0,2.96,16.65,0,0.74,0.74,0,0,0,0,0,0
3Month,0,0,0,2.39,0,0.31,0,0.73,0,0,2.29,0,0,0.1,0,0,0,0,0,0.21,0
22Month,0,0.14,0.68,12.98,0,2.6,0.14,4.1,0,0.14,1.23,0.14,0.27,0,0.27,0,0,0.14,0,0,0.14
