stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
72hpf,0,0.85,9.3,0,0,0,0,0,0,1.41,0,0,3.66,3.38,0.28,0,0.56,0.28,0,0
21Day,0,1.48,6.29,0,0,0,0,0.37,0,0.37,0,0.37,2.59,2.22,0.37,0,0.37,0,0,0
3Month,0,0.94,1.35,0.1,0,0.21,0.1,0,0.21,0,0,0,0.1,0,0,0.1,0,0.1,0.31,0.1
22Month,0,2.19,1.23,0.14,0.14,1.5,0,0,0.14,0,0.14,0.27,0.14,0.14,0,0.68,0,0.27,0.55,0
