stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0.28,0,0.28,0.28,0.56,7.61,1.41,0,0.56,0.28,0,0,0,0,0
21Day,2.22,0.37,0.74,0,0.37,0,0,0,0,0,2.59,1.48,1.85,0,0,0,0,0.37,0.37,0,0
3Month,0,1.04,0.1,0.1,0.52,0.31,0,0.1,0.1,0.94,0.31,0.31,0,0.1,0,0.1,0.31,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0
