stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.85,0.56,0,1.13,0,1.13,0,0,0,0,0,0,0,0,2.25,0,2.25,0,0,0,184.05,6.2,0.28,1.97,2.82,0,0,1.13,17.76,14.09,0.28,0,0,0
21Day,0.37,0.37,0,1.48,0.37,0.74,0,0,0,0,0,0,0,0.37,1.11,0.37,0,0,0,0,42.18,2.96,0,2.96,2.22,1.85,0,0,12.58,29.23,0.74,0,0,0.37
3Month,0,0.1,0.1,1.04,0,0,0.1,0.1,0.1,0.21,0,1.56,0.31,1.14,0.62,1.04,0.21,0,0.1,0.1,2.29,0.21,1.98,0.1,0,0,1.14,0.1,0.52,0,0.1,0.1,0.21,0
22Month,0,0.14,0.14,0.27,0,0,0.14,0,0,0.82,4.78,4.78,0.82,0.41,0.41,0.82,0.55,0.14,0,0,2.32,0.14,3.14,0.41,0.14,0,0.68,0,8.88,0,0,0.41,0,0.14
