stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,13,0,26,1,1,0,1,0,0,0,0,1,0,0,0,0,2,8,14,29,0,0,0,1,4,83,3,0,0,6,0,0,0,0,0,0,1,0,0,0
72hpf,5.92,12.97,0,28.47,6.76,1.69,0,1.13,0,0,0.28,0,0,0,0,1.41,0,37.2,74.41,2.54,40.02,0,14.09,0.85,4.51,28.18,34.1,2.82,0.56,0,53.55,0.28,0,0,9.3,0,0.28,10.99,0,0,0.28
21Day,11.1,4.44,35.52,132.83,4.07,19.98,0,11.84,0,1.11,2.96,0,0,93.98,0.74,12.21,62.9,4.44,23.68,7.4,84.73,0.37,2.59,7.4,4.44,28.12,23.31,8.14,0.74,0,34.78,15.54,0,0.37,7.03,0.37,4.44,7.03,0,0,4.81
3Month,1.25,23.4,40.88,330.25,0.83,0,7.7,5.1,0.94,52.32,43.06,0.73,0,2113.94,36.2,8.22,448.83,21.64,101.31,42.33,85.09,15.91,4.37,29.33,75.62,13.94,2.08,25.38,5.1,0,5.72,44,0.42,24.86,4.16,0.42,0,1.46,23.92,14.67,39.94
22Month,0.82,19.4,28.42,78.44,0.96,0,6.01,2.05,0,28.01,48.51,11.62,0.14,1673,14.76,15.58,481.96,3.42,16.26,44.68,53.16,2.46,32.8,7.52,3.01,4.51,0.82,15.44,5.47,1.37,1.5,2.6,0,17.63,5.33,1.64,0,0.82,2.73,0,12.44
