stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,1,0
72hpf,0.28,0,0,0,0,0,0,0.56,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,1.11,0,0,0,0.37,0
3Month,0,0.73,0,0,0.1,0,0.1,0.1,0,0,0,0.21,0
22Month,0,0.55,0.14,0.14,0.41,0.14,0,0,0,0.14,0,0,0.14
