stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.48,1.11,0,0.74,0,0,0.37,0,3.7,0,1.48,2.96,1.85,0.37,0,2.22,0,0,0,0.74,1.11,0,0,0,0.74,0,0,15.17
3Month,0.42,0.1,3.43,0,0.21,0.21,0.21,0.62,1.46,0.31,0.42,0.42,3.12,3.95,0.1,0,0.31,0.1,0,0.1,0.1,0,0.42,0.52,0.1,0,0,0.52,0.21,32.14
22Month,0.68,0.27,3.28,0,0,0.27,0,0.68,2.73,0,0.14,0.14,1.64,2.05,0.55,0,0,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0,1.91
