stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0.1,0.31,0.1,0,0,0.1,1.25,0.1,0.1,0,0.21,0,0,3.43,0.1,0,0,0.21,0.83,0,0.21,12.48,0.1
22Month,0,0,0.27,0,0.14,0.41,0.14,4.65,0.27,0.14,0.27,0.41,0.27,0.27,1.23,0,0,0,0,0.14,0.14,0,0,0
