stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.56,0.28,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.21,0.1,0,0,0.21,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0.21,0.42,0.1,0.21
22Month,0,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0
