stage,Epithelial_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,2.54,0.28,0,1.13,0.56,0
21Day,0,0,0.37,0,1.11,0.37,0
3Month,0,0,0,0,0,0,0.21
22Month,0.14,0,0,0.41,0,0,0
