stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0
21Day,2.22,0.37,0,0,0,0,0.37,0.37,0.74,0,0.74
3Month,1.35,0,0,0.21,0.1,0.31,0,0.21,1.87,0,1.35
22Month,0.27,0,0.14,0.14,0.14,0,0,0.14,0.55,0,1.37
