stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,2,74,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.28,1.13,0,0,0,0,0,0,0.28,4.51,0.28,7.61,0,0,2.25,58.62,19.17,0,1.13,0,0,1.13,0,0,0,0
21Day,0.74,0,1.48,0.37,0,0,0.37,0,0,0.74,0,0,0,3.7,0,0,0.74,27.01,7.77,0.37,0.37,1.11,0,1.11,0.74,0,0,0.37
3Month,0,0,0.31,0,0.1,0.21,0.21,0.52,0,0.42,0,0.21,0.31,0.52,0.1,0,0,0.1,0.31,0.1,0.1,0,0.62,0,0,0,0.1,0.1
22Month,0,0,0.96,0,0,0.14,0.27,3.28,0.14,0.14,0,0,0.27,0.41,0,0.55,0,0,0.14,0,0,0,2.46,0.14,0,0.14,0,0
