stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.56,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0.21,0,1.46,0,0.1,0.31,0,3.85,0.21,0,0.42,0.1,0.31,0.42,0.42,0,0.31,0.1,0.1,0,0.1,0,0,0.31,8.53,0.1,0.42,0.42
22Month,0,1.23,0,3.28,0.14,0.27,1.5,0.82,16.12,0.14,0.41,0.68,0.14,0.68,0.96,0.96,1.09,0,0,0,0,0.14,0.14,0.82,0,5.06,0.27,0,0.55
