stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,4,0,0,1,0,0,0,0,0,0,0,1,6,1,52,0,0,1,39,0,0,0,0,0,0,0,2,0,0,0
72hpf,1.97,1.69,0.56,0.28,0,0,0,0,0,0,0,0,0,0,2.54,0,2.82,0.28,0,1.69,1.13,0,0,2.54,0,0,0.28,0,0.28,0,0,0
21Day,10.73,0.37,0.37,0,0.74,0,0,0,0,0,0,0.37,0,0,0.37,0,2.96,0.74,0,0.37,0.74,0,0,1.48,0,0.37,0,0,0,0,0,0
3Month,0.42,0.31,1.56,0,0,0,0.1,0.21,0.1,2.29,0.31,0,0.42,0.1,0.52,0.52,1.66,0.31,0.1,0.21,0.1,0.1,0,0.21,0.73,20.8,0,0.1,0.1,0.1,20.91,0.42
22Month,0,0.14,0.14,0,0,0,0,0.41,0,2.05,0.14,0,0.27,0,0,0,0,0,0,0,0,0,1.09,0,0,8.2,0.14,0,0,0,0,0.14
