stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21Day,0,1.85,0.37,0,0,0,0,0,0,1.11,0.37,0,0,0,0,0.37,0,0
3Month,0.1,1.87,0,0.1,0.1,0.1,0.21,0.1,0.21,0.21,0.1,0.1,0.1,0,0.21,0,0.1,0.1
22Month,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.14,0,0
