stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
72hpf,0.56,0.28,0.28,0,0,0,0,0.28,0.56,0.28,26.21,0.28,1.69,0,0.28
21Day,0.37,0.37,0.74,0,0,0,0.37,0,0.74,0,12.95,0,0,0.74,0
22Month,0,0,0,0.14,1.37,0.14,0,0,0.14,0,0,0,0,0,0
