stage,Epithelial_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4,0,0,0,0
72hpf,0,0.28,0.85,0,0,4.23,0.56,0,0.28,0.28,0
21Day,0,0,0.37,0.37,0,0,0.37,0,0,0,0
3Month,0.1,0,0,0,0.1,0,0,0.31,0,0,0.31
