stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Neurosecretory_cell
21Day,0,0,0,0,0.37,0
3Month,0.21,0,0,0.1,0,0
22Month,0,0.27,0.14,0,0.14,0.14
