stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0
3Month,0.31,0.1,0.21,0.1,0.1,0.21,0.1,0,0,2.91,0.1
22Month,0,0,0.41,0,0.27,0,0,0.14,0,0,0
