stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,15,5,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,1.41,0.28,2.82,0,0,0.85,0,0.28,0,0,0,0.85,5.92,0.28,2.54,0,0,324.13,14.37,0.28,0.56,3.95,0.28,0,1.97,0.56,0,0.56,0
21Day,0.74,0.37,2.96,0.37,3.7,0.74,0,0.37,0,0,0.37,1.11,1.11,0.37,1.85,1.11,3.33,0,0,136.16,2.59,0,0.74,2.96,3.33,0,2.59,0.37,0.74,0.74,0.74
3Month,0,0.1,0.1,0.21,0,0,0.1,0.1,0,0.62,0,0,0,0,0.1,0.31,0.42,0,0.1,1.66,0,0.21,0.21,0,0,0.31,0,0,0,0,0.1
22Month,0,0,0.14,0.27,0,0,0.14,0.55,0.14,1.37,0.27,0,0.14,0,0,0.55,0.27,0.14,0,1.64,0.14,0.41,0,0,0,0,0.27,3.28,0,0,0
