stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0.28,14.37,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0
21Day,0,0,4.07,0,0,0,0,0,0,0.37,1.11,5.92,1.48,0.74,0,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0.1,0.31,4.78,0,1.14,0.1,0,4.58,0.42,2.6,0.52,0.31,1.25,0.42,0.21,0,0.21,0.31,0.21,0,0.42,0,0.21,0.52,0.42
22Month,0.14,0.41,4.92,0.14,1.09,0.27,0.14,6.29,0.27,7.79,0.55,0.41,1.09,0.68,0,0.14,0.41,0,0.14,0,0.41,0,0,0,0.27
