stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,1,0,2,0,0,1,12,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,1.97,1.69,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,1.11,0,0,0,0,0
3Month,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0.21,0.1,0,0.21,0,0,0.31,0,0.1,0.1,0
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14
