stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0.37
3Month,0.1,0.1,0,1.04,0.1,0.31,0.31,0,2.18,0.21,0.1,2.08,0.62,0.73,0,0,0.1,0,0.73,0.1,0.31,1.14
22Month,0.14,0,0.14,0.41,0,0,0.82,0.14,3.28,0.14,0.14,1.91,0.14,0.55,0.41,0.27,0.14,0,0.27,0,0,0.14
