stage,Endothelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,2,0,0,1,0,0
72hpf,0,0,0,0.85,0,0.85,0,0.56,0
21Day,0,0,0,1.85,0,0,0,0,0.37
3Month,0,0.1,0.1,0.52,0.42,0,0,0,0
22Month,0.14,0.27,0,0,0,0,0,0,0
