stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,8,45,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0,0.85,0.56,0.56,0,0,0,0,0,0,0,1.13,1.13,0.28,3.38,0.85,0,0,36.36,10.43,0.56,0.56,3.1,0,0,0.28,0,0.28,0,0
21Day,1.85,0,0,7.4,0.37,3.33,0.37,0,0,0.37,0,1.11,1.11,0,1.48,0.37,14.43,0,1.11,0,35.15,6.29,0,0.37,4.07,2.22,0,0.37,0.74,0.37,0.37,0
3Month,0,0,0.1,0.83,0,0,0,0,0,0.1,0.31,0,0.1,0.31,0.1,0.1,0.1,0,0,0.21,0.31,0,0.1,0,0,0,0.83,0,0,0,0,0.1
22Month,0,0.27,0,0.96,0.14,0,0,0.55,3.28,5.06,0,0.14,0.82,0,0,0.41,1.23,0.55,0,0,3.69,0.14,0.96,0,0,0,1.5,1.09,0.27,0.14,0.14,0
