stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neurosecretory_cell,Primordial_germ_cell
21Day,0.37,0,0,0.74,1.85,1.11,0,0,0
3Month,0.83,0.1,0.1,0.21,4.68,1.04,0.1,0.1,0.21
22Month,0.41,0,0,0,0,0.55,0,0,0
