stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,2.25,0,0,0
21Day,0,0,0,0,0,0,0.74,0,0,0
3Month,0,0.42,0.1,0.31,0.1,0.1,0.83,0,0,0.31
22Month,0.14,0,0,2.05,0,0,0,0.27,0.14,0.27
