stage,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,2,0,0,0
72hpf,0,0,0,0,1.13,0,0.28,0.28,0
21Day,0.74,0,0,0,0.37,0.37,0,0,0.37
3Month,0,0.1,0.1,0.1,0,0,0,0,0
