stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,1,1,0,4,0,0,0,1,0,0,0,2,1,8,0,2,79,1,3,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,1.41,0,2.25,4.23,0.28,0.85,0,0,0.28
21Day,0.74,0,0,0.74,1.85,0.74,0.37,0,0,0,0,0.37,0,0,0,0.37,2.22,0,0,1.11,0,0
3Month,0,0,0,0,0,0,0.1,0,1.35,0,0,0,0.1,0,0.1,0,0,0,0,0,0.31,0
22Month,0,0,0.14,0.14,0,0,0.14,0,0.27,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0.27,0
