stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0,0,0
21Day,27.75,0.74,0,1.11,0.37,0.37,0.37,0.74,0.74,0.37,1.11,0.37,2.59,0.37,0,2.22,0.37,0.37,1.11,1.85,0,0.37,0.37,0.74,0,1.48
3Month,0.62,0,0.1,0,0.1,0,0.31,0,0,0,0.31,1.04,0,0,0,0,0,0,0,0,3.33,0,0,0,1.87,0
22Month,0.14,0,0,0,0,0,1.78,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
