stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,3,39,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,1.97,0,2.54,0,0.28,0,4.51,7.89,0,0,0.85,0,0,0.28,0.28,0,0,0,0
21Day,1.85,0,0,2.59,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0,0.37,5.18,0,0.37,0,2.96,2.96,0,0,1.11,0.74,0,0.37,0,0,0,0,0
3Month,0,0.21,0,2.29,0,0,0,0.21,0.21,0,6.14,0.1,0.1,1.04,0.1,0.62,0.31,0.31,0.1,0,0.31,0,0,0.1,0,0.1,0,0.83,0.1,0,0,0.42,1.04,0.42
22Month,0.14,0.27,0.27,0.96,0,0.14,0,0.14,0.55,0.41,11.75,0.41,0.14,2.6,0,0.55,1.37,0.55,0,0.14,0,0,0,0.14,0.14,0,0.14,0.27,0.14,0,0,0.14,0,0.27
