stage,Cardiomyocyte,Enterocyte,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,4.23,0,0,0.28,0,0,0
21Day,0.37,0,0,0.37,1.48,0.37,2.59,2.59,0,8.88,0.74,0,0.37,0,0,0.37
3Month,0,0,0,0,0.21,0,1.25,0,0.1,0.42,0.21,0,0,0,0.1,0
22Month,0,0.14,0,0,1.64,0.82,10.66,0,0,2.32,0.41,0.14,0,0.14,0,0
