stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.13,0,1.97,0.56,0,0,0,0,0,0,0,0,0,1.69,6.2,0,7.61,0,0.28,0,1.97,3.1,0,5.07,0,0,1.41,0,0,0,0,0
21Day,1.48,1.11,0,17.02,0.74,2.59,0,0,0,0,0.37,0,0.37,0,0,7.4,0.37,6.29,0,0,1.11,2.22,1.11,0,3.33,0.74,0,0.37,0.37,0.37,0,0,1.11
3Month,0,2.6,1.87,29.33,0.21,0,0.1,0.1,2.29,0.73,2.6,1.14,0,9.88,0.62,13.73,0.21,6.97,1.46,0,0.62,0.31,0.1,0.1,0.31,0.1,0.94,0,0,0.1,0.42,0.42,0.83
22Month,0,3.01,0.68,6.15,0,0,0.14,0.14,1.09,0.68,4.37,0.14,0,6.56,0.27,2.05,0.27,3.42,0.14,0.41,0.27,0,0.14,0.27,0,0.27,0.27,0,0,0,0.14,0,0.14
