stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,8,0,0,1,0,0,0
72hpf,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0.37,0,1.11,0,0,0,0,0,0
3Month,0,0,0.83,0.31,1.35,0,0.1,1.14,0.1,0.1,0,0,0,0.1
22Month,0.27,0.14,5.47,2.19,1.91,0.14,0,9.16,0.14,0,0,0.14,0.14,0.27
