stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,61,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
72hpf,37.49,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,2.82,0.85,0,0,0.28,0,0,0.28,11.84,0.56,0,0
21Day,44.03,0,0.37,3.33,0.37,1.85,0,0.74,0,0,0,0,0,0,0.37,0.74,0.74,1.48,0,2.22,0,0,1.85,4.81,1.11,0,0.37,1.11,1.11,0,0,86.21,3.7,0,0.37
3Month,6.55,0.31,0.31,2.6,0,0,0.1,0,3.85,0.42,0,0,3.12,0.94,0,15.5,0.1,0.42,0.94,0.73,0.1,0,0.1,0,0,2.6,0.1,0.1,0.21,3.85,0.1,1.66,0,2.08,0.42
22Month,1.78,0.14,1.09,1.5,0,0,0,0,0.55,0.82,0.41,0,7.11,0,0,17.76,0.14,0.27,0.27,0.55,0,0.41,0.41,0.55,0,0.96,0.14,0,0,1.91,0.41,69.96,0,0,0.68
