stage,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,1,0
72hpf,0,0,0.56,0,0,0,0
21Day,0,0,0.37,0.37,0.37,0,0.37
3Month,0.21,0.1,0,0,0,0,0
