stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Pancreatic_cell,Radial_glia
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0.37,0,4.44,0,0
3Month,0.31,0.1,0.1,0.31,0,0.1,0,0.1,0.21,0.21,0.1,11.34,0.1,0.1
22Month,0,0,0,0,0.14,0,0,0,0,0.14,0,1.78,0,0
