stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,0.37,0,0,0,0,0.74
3Month,0,0.21,3.74,0,0.1,0,0.1,0.21,0.52,0.31,1.56,0.21,1.04,0.1,0.21,0.21,0.1,0,0.1,0.31,0,0.1,0.42
22Month,0.27,0,1.78,0,0,0.14,0,0.27,2.05,0.27,0.41,0,0,0.68,0.27,0.14,0,0.14,0,0.55,0.14,0,0.14
