stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,2,3,0,0,0,0,0,0
72hpf,8.17,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,1.13,0,0,1.97,0.85,0.28,0,0,0,0,0
21Day,7.03,0.37,0,0.37,1.11,0,0,0,0.37,0,0,0.37,0.37,0.74,2.59,0,1.48,1.85,0.74,0.37,1.11,0.37,0,0,0.74
3Month,0.21,0,0,1.04,0,0.1,0.21,1.46,0.1,0,0.42,0,0.1,0.1,0.31,0.1,0,0,0,0,0,2.91,0,15.5,0.21
22Month,0.68,0.14,0.27,0,0,0,0,0.96,0,0.27,0.14,0,0,0,0.14,0,0.14,0,0,0,0,0.96,0.14,0.14,0.14
