stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0.28,1.13,0.28,0.56,0.28,0,0.28,0.28,0,0,0
21Day,0,0,0.74,0,0,0,0.37,0,0,0.37,0.37,0.74,0,0,0,0,0,0.37,1.11
3Month,0,0,0,0.1,0,0.21,0.31,0.1,0,0.1,0.21,0,0,0.21,0,0,0.1,0,0.21
22Month,0.14,0,0,0.14,0.27,1.23,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0,0
