stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,1,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0.28,10.99,0.28,0,0,0
21Day,0.37,0.37,0.74,0,0.37,0,0.74,2.96,0,0,0.37,0
3Month,0,0,0,0.62,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0,0.14,0.14,0,0,0.14,0,0
