stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,1.97,0.28,0,0,0,0,0,0,0.28,0,0,5.36,0.85,1.13,0,0,0,0,7.05,3.1,0,0.28,0,1.41,0,0,0.56,0.28,0,0,0,0
21Day,1.11,0.37,0.37,12.95,0.37,0,0,0,0,0.37,0,0.37,0.37,0.37,9.62,2.22,3.33,0,0,0.74,0,5.92,1.48,0.37,0.74,0,0.74,0.37,0,0.37,0.37,0,0,0,0.74
3Month,0.1,0.83,0.1,8.74,0,0.1,0.62,2.7,0.1,7.39,1.46,0.1,3.64,0.73,3.02,3.02,1.04,0.31,0,0.21,0.62,0,0,0.94,0.73,0,0.31,0.31,1.46,0,0,0.1,0.94,0.62,0.83
22Month,0,0.68,0,2.6,0,0.27,0.27,4.1,0.27,39.9,0.96,0.41,5.06,0,1.23,3.28,1.5,0,1.64,0.14,0,0.14,0,0.82,0.96,0.14,0.14,0.14,0.14,0.14,0,0,0.14,0,0.82
