stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
72hpf,0,0,0,0,0,0,5.36,0.28,0,0,0.28,0.28,0,0.28
21Day,1.11,0,0,0,0,0,2.59,0.37,0,0,0,0.37,0.37,0
3Month,0,0.1,0,0.21,0,0.1,0,0.21,0,0.1,0,0,0,0
22Month,0.55,0,0.14,0.55,0.14,0,0,0.14,0.14,0,0,0,0,0
