stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0
21Day,0,0,9.25,0.37,0,0.37,0,0,0,0,0,0,1.48,0,0.37,0,0,0,0,0.37,0,0,0.37,2.59,0,0,0
3Month,0.52,0.1,9.26,0,0.1,0,0.31,0.62,3.12,1.14,1.35,0.31,0.83,1.04,1.66,0.42,0,0.21,0.31,0.21,0,0,1.04,148.33,0.42,42.13,0.83
22Month,0.14,0.14,5.33,0,0.27,0,0,0.41,2.32,0.14,0.14,0.27,0.14,0.55,0.14,0.14,0.14,0.55,0,0.14,0,0.14,0,30.61,0.14,0.27,0.14
