stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,15.5,1.69,0,1.97,0,0,0,0,0,0,0,0
21Day,1.11,0.37,0,2.59,1.85,0,0.37,0,0,0,0.37,0.37,0,0.37,0,0,0.74,0,1.85,0,0,0.37,0,50.32,0,0.37,0.74,1.85,0,0.37,0,0.37,0,0,0.74
3Month,0,0.31,0.31,2.29,0,0.1,0,0.1,0.1,0.42,0,2.39,0,0,1.35,0.21,0.73,0.31,4.47,0.62,0,0.1,0.73,4.37,0.1,0,0.21,0.31,3.64,0.52,0,0.1,0.42,4.37,0.42
22Month,0.14,0.14,0,1.09,0,0,0,0,0,0.82,0,9.57,0.27,0,0.96,0.14,0,0.27,5.33,0,0.41,0,0,7.52,0,0.82,0.27,0,3.69,2.87,0.27,0,0,0,0.14
