stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,2,0,3,0,0,0,0,0,0,0,20,0,0,0,4,117,0,0,1,0,0,0,0
72hpf,0.85,0,0.56,0.28,1.41,0,0,0,0,0.28,7.89,0,0.28,0,58.34,27.34,0,0.85,5.64,0,3.38,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0.37,5.92,3.7,0.37,0,0.74,0,1.48,0,0.37
3Month,0,0.31,0.1,0,0,0.1,0,0.42,0.1,0,0.21,0.1,0,0,0,0,0,0.1,0,0.21,0,0,0.21
22Month,0,0,0.14,0,0,0,0.82,0.55,0,0,0,0,0.14,0,0,0,0,0,0,1.23,0,0,0
