stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,10,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,5.64,0.85,0,0,0.56,0,0,0,0.56,0,0.28,0,0,0
21Day,0.74,0,2.22,0.37,0.37,0,0,0,0,0,0.74,0,0,0.74,0.74,0,0,3.33,0.74,0,0,0,0.74,0,0.74,0,0.37,0,0,0,0.37
3Month,0,0,2.18,0,0,0.1,0.31,1.04,5.2,0.83,0.21,1.56,0.62,0.94,1.35,0.31,0.21,0,0,0.21,0,0,0.31,0.1,0.73,0,0,0,0.21,1.25,0.31
22Month,0,0.27,0.14,0,0,0,0.14,0.96,4.37,0.68,0,0.68,0,0.14,0.14,0.27,0,0.14,0,0,0.68,0,0,0,0.82,0,0.27,0,0,0,0.14
