stage,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,2,0
72hpf,0,0,0.28,0,0,0
21Day,0,0,1.11,0,0,0
3Month,0.21,0.1,0,0.1,0,0.1
