stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,1,0,1,0,0,0,0,1,7,0,0,2,54,1,0
72hpf,0.28,0.28,0.85,0,0,0,0,0.28,1.41,0,1.41,0.28,0,3.66,5.92,0.56,0.28
21Day,0.74,0,0.37,0.37,0,0.74,0.37,0,0,0,6.66,0,0.37,1.48,3.33,2.22,0
