stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0.85,0.56,0.56,0,0,0,0,0,0,0,0,1.97,0.28,2.25,0.56,0,5.64,8.46,0.85,0.28,0,0,0,0,0,0,0
21Day,2.22,0,3.7,0,3.7,2.59,0,0,0,0,1.85,0.37,0.37,0.37,0.74,2.22,0,0.74,0.74,6.29,1.85,1.11,0,0.74,0.37,0.37,0,0,0.37
3Month,0,0.1,1.14,0,0,0.21,0.62,0,1.25,0.21,0,0.1,0,0.42,0.62,0.94,0,0,0.1,0.1,0,0.31,2.08,0,0,0,0.1,8.95,0.52
22Month,0.14,0,0.14,0,0,0,0.14,0.14,1.09,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
