stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,2.54,0.28,0,0.85,0,0,0,1.69,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0.74,0,0,0,0,0,0.74,0,0.37,0.37,4.44,0,0,0,1.48,2.22,0,0.74,0,1.11,0,0,0,0.37
3Month,0.1,0.1,0.31,2.29,0,0.94,0.21,0,1.56,0.1,9.99,0.21,0.52,0.83,0.73,0.21,0.31,0.21,0,0.1,0.1,0,0.31,1.25,0,0.21,2.18,0.21
22Month,0.14,0.14,0.68,0.41,0,0.82,0.27,0.14,5.88,0.14,14.35,0,0,0.68,0.68,0,0.14,0,0.14,0,0.14,0,0,1.09,0.14,0.14,0,0.14
