stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.28,0,0
21Day,0.74,0,1.11,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0
3Month,2.29,0.31,0,0.1,0.21,0.1,0.31,0.1,0,0.31,0.1,0.1,1.25,1.77,0,0,0,0.52,0,4.37,0.42
22Month,0.55,0,0,0,0,0.14,0.68,0,0.14,0,0,0,0.41,0.68,0,0,0.14,0,0.14,0.55,0
