stage,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0
72hpf,0.56,0,0.28,0.28,0.28,0,0
21Day,1.85,0,0,0.37,0,0,0
22Month,0,0.14,0,0,0,0,0.27
