stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.28,0,0,0,0,0,0,0.28,0.56,0,1.41,0,0,0,9.02,2.25,0,2.25,0,1.13,0,0.28,0,0
21Day,0.37,0.37,0.37,0.37,0,0,0,0.37,0.74,0,0,0,0.37,1.85,0,0.74,0,3.7,1.48,0,0.74,0,0.37,0.37,0,0,0
3Month,0,0.1,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0
22Month,0.27,0.68,0,0,0.27,0.27,1.5,0,0,0.68,0,0,0,0,0.27,0,0,0,0,0.14,0,0.14,0,0,0,0.27,0.14
