stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.13,0.28,44.25,0,0,0,0.28,0,0,0,0.56,0,0.56,0.56,0.85,1.13,0,0,0,0,3.66,1.97,0,0,0,1.41,0,0,0.56,0.28,0.28,0,0,0
21Day,1.11,0.74,0,1.11,0,94.35,0,10.36,0,1.48,0,0.37,0.37,1.85,0.37,0,1.11,1.11,2.96,0,0,0.37,0,2.96,1.11,0,0,0,1.85,3.33,0,0,0,0,0,0,0
3Month,0,1.04,0.1,1.14,0,0,1.25,0,0.52,2.39,0,3.02,2.81,0.31,0.52,0.1,0.42,2.39,2.7,0.52,0,0.1,0.1,0.21,0,0,0,0,0,0.1,0.42,0.1,0,0,0.31,3.85,0.1
22Month,0,1.78,0,1.23,0,0,4.78,0.14,0.14,7.93,0,17.63,1.37,1.23,0.82,0.14,0.41,4.24,4.65,0.14,0.96,0.41,0,0,0,0.14,0.27,0.27,0.27,0.41,1.23,0.14,0,0,0.14,0.14,0.82
