stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0.37,0.37,0,0.37,4.07,0,0,0,1.11,0,0,0.37,0,0.37,0,0.74,0,0,0.37
3Month,0.1,0.21,0.42,0,4.16,0.52,0,3.33,0.1,0.1,0.31,1.04,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.62
22Month,0,0.14,0.27,0.14,5.6,4.78,1.37,5.19,0.27,0,0,5.06,0.55,0.14,0,0.27,0,0.14,0,0.55,0,0.41
