stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,1.97,8.17,0.56,0.56,0,0.56,0,0,0.28,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0
21Day,0,0.37,0.37,5.55,0.37,0.37,0,0,0.37,0,0,0,0.37,0.74,0.74,1.11,0.37,2.22,0.37,0,0,0,0.37,0,0,0.37,0.37,0,0,0,1.85,0,0,0,0,0,0.37
3Month,0.1,0.21,1.56,22.26,0,0,0,0,14.46,0.83,0,0,16.02,6.24,0.1,32.77,3.22,1.25,2.7,1.14,0.1,0,4.99,0.21,0.42,0,1.66,0.1,0,0.21,0.73,14.67,0.1,0,0.31,1.77,3.22
22Month,0,0.27,2.6,6.29,0,0,0.14,0.14,7.93,1.91,1.09,0,209.89,2.87,0.55,36.9,1.37,1.23,2.32,1.23,0,1.37,3.42,0,0.14,0,1.37,0.27,2.05,0,0.41,6.97,0.14,0.41,0.14,0,1.64
