stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,12.4,0,0.28,0,0,0,0,0,0,0,0,1.41,0,1.41,0,0,0,0,1.97,0.85,0,0,0.56,0.28,0.28,0,0,0
21Day,0.37,0,0,0.37,0.37,8.88,0,2.22,0,0,0,0.74,0,0,0,0,0.37,0,1.48,0,0,0,0,0.37,0,0,0,0,1.11,0.37,0,0,0
3Month,0,0,0.1,0.73,0,0,0.21,0.1,0.1,0.21,0,8.63,0.1,0.21,0.31,0.31,0.31,0.21,0.62,0.1,0.1,0,0.21,0,0.1,0.1,0,0.1,12.59,0,0,1.25,0.31
22Month,0.14,1.09,0.14,1.91,0,0,0.14,0,0.27,1.64,1.09,28.42,1.37,0.14,0.96,0,0.41,1.09,1.91,0,0.96,0.27,0,0,0,0.27,41.68,0,14.62,0,0.27,0,0.41
